tick,pt,pt_utc,market_id,market_type,market_name,market_status,in_play,market_time,selection_id,handicap,runner_name,runner_status,best_back,best_back_size,best_lay,best_lay_size,ltp,traded_volume
116,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162716,OVER_UNDER_85_CORNR,Corners Over/Under 8.5,OPEN,False,2017-04-30T13:05:00+00:00,7076459,,Under 8.5 Corners,ACTIVE,3.05,15.98,3.15,2.02,3.15,60.779999999999994
116,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162716,OVER_UNDER_85_CORNR,Corners Over/Under 8.5,OPEN,False,2017-04-30T13:05:00+00:00,7076458,,Over 8.5 Corners,ACTIVE,1.46,143.6,1.48,33.63,1.46,56.92
1589,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162719,OVER_UNDER_25,Over/Under 2.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,47972,,Under 2.5 Goals,ACTIVE,2.6,1458.47,2.64,20.16,2.62,2235.76
1589,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162719,OVER_UNDER_25,Over/Under 2.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,47973,,Over 2.5 Goals,ACTIVE,1.61,3571.81,1.62,2237.33,1.61,18287.82
946,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162720,OVER_UNDER_45,Over/Under 4.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,1222347,,Under 4.5 Goals,ACTIVE,1.27,1139.35,1.28,701.63,1.28,1979.47
946,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162720,OVER_UNDER_45,Over/Under 4.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,1222346,,Over 4.5 Goals,ACTIVE,4.5,1696.51,4.7,925.0,4.5,703.19
836,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162723,OVER_UNDER_15,Over/Under 1.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,1221385,,Under 1.5 Goals,ACTIVE,5.8,231.85,5.9,2.18,5.8,278.71
836,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162723,OVER_UNDER_15,Over/Under 1.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,1221386,,Over 1.5 Goals,ACTIVE,1.2,1265.23,1.21,6177.72,1.2,11417.33
97,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162743,OVER_UNDER_105_CORNR,Corners Over/Under 10.5,OPEN,False,2017-04-30T13:05:00+00:00,6393482,,Under 10.5 Corners,ACTIVE,1.76,46.58,1.88,165.28,1.83,18.86
97,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162743,OVER_UNDER_105_CORNR,Corners Over/Under 10.5,OPEN,False,2017-04-30T13:05:00+00:00,6393483,,Over 10.5 Corners,ACTIVE,2.12,98.5,2.3,146.0,2.2,30.86
79,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162749,TEAM_TOTAL_GOALS,Middlesbrough Total Goals,OPEN,False,2017-04-30T13:05:00+00:00,285469,-1.0,1 goals or more,ACTIVE,1.86,195.15,2.04,161.5,,
79,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162749,TEAM_TOTAL_GOALS,Middlesbrough Total Goals,OPEN,False,2017-04-30T13:05:00+00:00,285470,-2.0,2 goals or more,ACTIVE,5.59,36.17,6.96,27.75,,
79,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162749,TEAM_TOTAL_GOALS,Middlesbrough Total Goals,OPEN,False,2017-04-30T13:05:00+00:00,285471,-3.0,3 goals or more,ACTIVE,26.0,0.08,37.58,4.2,26.0,19.84
79,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162749,TEAM_TOTAL_GOALS,Middlesbrough Total Goals,OPEN,False,2017-04-30T13:05:00+00:00,2795170,-4.0,4 goals or more,ACTIVE,11.0,8.41,,,,
79,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162749,TEAM_TOTAL_GOALS,Middlesbrough Total Goals,OPEN,False,2017-04-30T13:05:00+00:00,12453962,-5.0,5 goals or more,ACTIVE,,,,,,
79,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162749,TEAM_TOTAL_GOALS,Middlesbrough Total Goals,OPEN,False,2017-04-30T13:05:00+00:00,285474,-6.0,6 goals or more,ACTIVE,,,,,,
79,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162749,TEAM_TOTAL_GOALS,Middlesbrough Total Goals,OPEN,False,2017-04-30T13:05:00+00:00,8215951,-7.0,7 goals or more,ACTIVE,,,,,,
1177,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162757,OVER_UNDER_35,Over/Under 3.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,1222344,,Under 3.5 Goals,ACTIVE,1.65,1000.0,1.66,19.3,1.67,5550.45
1177,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162757,OVER_UNDER_35,Over/Under 3.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,1222345,,Over 3.5 Goals,ACTIVE,2.5,94.11,2.54,997.19,2.54,2288.84
276,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162801,OVER_UNDER_75,Over/Under 7.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,1485572,,Under 7.5 Goals,ACTIVE,1.01,13415.34,1.02,5046.32,1.01,12.35
276,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162801,OVER_UNDER_75,Over/Under 7.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,1485573,,Over 7.5 Goals,ACTIVE,65.0,18.69,70.0,10.0,65.0,112.39999999999999
278,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162802,OVER_UNDER_85,Over/Under 8.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,2407528,,Under 8.5 Goals,ACTIVE,,,1.01,5411.35,1.01,3.36
278,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162802,OVER_UNDER_85,Over/Under 8.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,2407529,,Over 8.5 Goals,ACTIVE,170.0,37.82,210.0,10.0,150.0,21.43
9402,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162806,MATCH_ODDS,Match Odds,OPEN,False,2017-04-30T13:05:00+00:00,63907,,Middlesbrough,ACTIVE,13.0,95.49,13.5,1247.79,13.0,24557.51
9402,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162806,MATCH_ODDS,Match Odds,OPEN,False,2017-04-30T13:05:00+00:00,47999,,Man City,ACTIVE,1.29,39768.3,1.3,8894.81,1.3,688174.7
9402,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162806,MATCH_ODDS,Match Odds,OPEN,False,2017-04-30T13:05:00+00:00,58805,,The Draw,ACTIVE,6.4,3220.19,6.6,708.83,6.6,33466.88
418,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162807,TOTAL_GOALS,Total Goals,OPEN,False,2017-04-30T13:05:00+00:00,285469,-1.0,1 goals or more,ACTIVE,1.04,1013.21,1.05,1168.23,1.04,56.0
418,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162807,TOTAL_GOALS,Total Goals,OPEN,False,2017-04-30T13:05:00+00:00,285470,-2.0,2 goals or more,ACTIVE,1.19,1000.0,1.21,950.0,,
418,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162807,TOTAL_GOALS,Total Goals,OPEN,False,2017-04-30T13:05:00+00:00,285471,-3.0,3 goals or more,ACTIVE,1.59,1000.0,1.63,1000.0,,
418,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162807,TOTAL_GOALS,Total Goals,OPEN,False,2017-04-30T13:05:00+00:00,2795170,-4.0,4 goals or more,ACTIVE,2.46,1000.0,2.57,1000.0,,
418,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162807,TOTAL_GOALS,Total Goals,OPEN,False,2017-04-30T13:05:00+00:00,12453962,-5.0,5 goals or more,ACTIVE,4.4,1000.0,4.7,960.0,4.31,6.0
418,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162807,TOTAL_GOALS,Total Goals,OPEN,False,2017-04-30T13:05:00+00:00,285474,-6.0,6 goals or more,ACTIVE,9.2,697.96,10.5,1000.0,9.2,110.07
418,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162807,TOTAL_GOALS,Total Goals,OPEN,False,2017-04-30T13:05:00+00:00,8215951,-7.0,7 goals or more,ACTIVE,22.0,518.44,25.0,210.0,22.0,29.12
372,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162818,FIRST_HALF_GOALS_05,First Half Goals 0.5,OPEN,False,2017-04-30T13:05:00+00:00,5851482,,Under 0.5 Goals,ACTIVE,4.0,1069.07,4.3,978.84,,
372,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162818,FIRST_HALF_GOALS_05,First Half Goals 0.5,OPEN,False,2017-04-30T13:05:00+00:00,5851483,,Over 0.5 Goals,ACTIVE,1.31,2085.85,1.33,1082.04,1.31,1199.72
673,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162819,OVER_UNDER_05,Over/Under 0.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,5851482,,Under 0.5 Goals,ACTIVE,23.0,252.4,24.0,145.27,23.0,1435.55
673,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162819,OVER_UNDER_05,Over/Under 0.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,5851483,,Over 0.5 Goals,ACTIVE,1.04,62755.36,1.05,22553.73,1.04,20380.079999999998
563,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162822,OVER_UNDER_65,Over/Under 6.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,2542448,,Under 6.5 Goals,ACTIVE,1.04,11548.15,1.05,6040.49,1.05,1757.01
563,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162822,OVER_UNDER_65,Over/Under 6.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,2542449,,Over 6.5 Goals,ACTIVE,23.0,401.66,24.0,2.52,23.0,567.14
823,1493556900000,2017-04-30 12:55:00.000 UTC,1.131162824,OVER_UNDER_55,Over/Under 5.5 Goals,OPEN,False,2017-04-30T13:05:00+00:00,1485567,,Under 5.5 Goals,ACTIVE,1.11,3192.81,1.12,6500.14,1.12,2658.92
